Window_Index,Reliability_Score,Accepted,Context
0,0.7490407974967578,True,rest
1,0.754019987195213,True,rest
2,0.7490114713664732,True,rest
3,0.7478378025792829,True,rest
4,0.7518010689053632,True,rest
5,0.739638539825502,True,rest
6,0.7379763805988396,True,rest
7,0.7291462163334421,True,rest
8,0.740405354883333,True,rest
9,0.7458707634297801,True,rest
10,0.7477077897572509,True,rest
11,0.7368088311535941,True,rest
12,0.7566443175742535,True,rest
13,0.734505780993119,True,rest
14,0.7308145650228866,True,rest
15,0.7482349287695288,True,rest
16,0.7554804536867215,True,rest
17,0.7425910421176225,True,rest
18,0.7494946696979177,True,rest
19,0.7442643217813573,True,rest
20,0.7417919926494391,True,rest
21,0.7483527626779015,True,rest
22,0.7479853818946999,True,rest
23,0.7459967259860906,True,rest
24,0.7481746478250701,True,rest
25,0.7480163668414472,True,rest
26,0.7527030209546766,True,rest
27,0.7554687437856406,True,rest
28,0.7475927071537247,True,rest
29,0.7501046810571766,True,rest
30,0.7495993114137804,True,rest
31,0.7279015204275407,True,rest
32,0.743024013368687,True,rest
33,0.7548339251949291,True,rest
34,0.7492460878134153,True,rest
35,0.7531592956561171,True,rest
36,0.7301244645805228,True,rest
37,0.7483949221303771,True,rest
38,0.7529919060380634,True,rest
39,0.7561342038892492,True,rest
40,0.7469999814533179,True,rest
41,0.7437397809704771,True,rest
42,0.7380754572448257,True,rest
43,0.7541977226982679,True,rest
44,0.7624881838521316,True,rest
45,0.7342081482398433,True,rest
46,0.7462177662936504,True,rest
47,0.7333738705035382,True,rest
48,0.734092322403762,True,rest
49,0.7483716573157109,True,rest
50,0.7575385196916508,True,rest
51,0.7493159737881583,True,rest
52,0.7424925642960039,True,rest
53,0.7492983768463223,True,rest
54,0.7584198177121598,True,rest
55,0.7396463737332875,True,rest
56,0.7513324594016724,True,rest
57,0.7482271444971764,True,rest
58,0.7419851967061599,True,rest
59,0.7443557539699964,True,rest
60,0.7245399477659829,True,rest
61,0.7448173645511343,True,rest
62,0.7517733766268573,True,rest
63,0.7313828975191119,True,rest
64,0.7294353015486008,True,rest
65,0.720086513576799,True,rest
66,0.7375559261546673,True,rest
67,0.726852056675093,True,rest
68,0.7343242027178223,True,rest
69,0.7164283756364376,True,rest
70,0.7406087265873686,True,rest
71,0.7197433644144032,True,rest
72,0.716624326825164,True,rest
73,0.7246922152366841,True,rest
